Image_Name,Image_Path,Label,Edge_Count,Contour_Count
0398.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0398.jpg,0,9790,116
0175.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0175.JPEG,1,9659,320
0201.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0201.JPEG,1,6196,148
0699.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0699.JPEG,1,5424,138
0218.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0218.jpg,0,551586,17036
0130.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0130.JPEG,1,6385,235
0405.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0405.JPEG,1,7105,206
0528.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0528.JPEG,1,6649,267
0032.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0032.JPEG,1,9966,431
0386.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0386.JPEG,1,5418,156
0402.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0402.jpg,0,39287,1268
0635.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0635.jpg,0,7925,102
0532.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0532.jpg,0,80826,2028
0692.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0692.JPEG,1,4100,120
0715.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0715.JPEG,1,6578,180
0543.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0543.JPEG,1,5658,202
0650.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0650.jpg,0,54979,936
0022.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0022.jpg,0,22994,569
0826.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0826.JPEG,0,5881,146
0665.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0665.JPEG,1,5838,174
0169.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0169.jpg,0,29769,934
0542.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0542.JPEG,1,7671,198
0413.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0413.JPEG,1,6209,207
0855.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0855.JPEG,0,7701,169
0122.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0122.JPEG,1,10650,349
0255.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0255.JPEG,1,7970,245
0744.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0744.jpg,0,21066,477
0880.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0880.JPEG,1,10804,380
0391.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0391.JPEG,1,5904,157
0427.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0427.JPEG,1,6536,191
0610.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0610.jpg,0,20367,417
0521.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0521.JPEG,1,7066,228
0465.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0465.jpg,0,9534,8
0117.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0117.JPEG,1,6506,178
0769.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0769.JPEG,1,9430,295
0534.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0534.JPEG,1,4518,111
0543.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0543.jpg,0,14280,134
0667.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0667.jpg,0,68983,2482
0696.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0696.jpg,0,5898,144
0592.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0592.JPEG,1,4288,89
0323.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0323.jpg,0,32939,854
0601.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0601.JPEG,1,6608,226
0555.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0555.JPEG,1,7446,163
0684.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0684.jpg,0,45234,1469
0364.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0364.JPEG,1,4876,146
0037.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0037.jpg,0,10845,333
0538.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0538.JPEG,1,12099,547
0146.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0146.JPEG,1,8583,212
0346.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0346.jpg,0,19797,578
0601.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0601.jpg,0,17868,288
0852.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0852.JPEG,1,8158,244
0418.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0418.jpg,0,3490,59
0779.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0779.JPEG,1,9837,334
0415.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0415.jpg,0,36275,860
0766.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0766.jpg,0,18391,229
0736.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0736.jpg,0,32036,602
0490.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0490.JPEG,1,4652,176
0877.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0877.JPEG,0,6481,131
0275.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0275.jpg,0,13236,357
0114.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0114.jpg,0,37941,728
0012.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0012.JPEG,1,3629,85
0319.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0319.jpg,0,11261,436
0653.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0653.JPEG,1,4302,190
0386.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0386.jpg,0,14725,675
0871.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0871.JPEG,0,7727,263
0124.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0124.jpg,0,5633,131
0161.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0161.jpg,0,16159,351
0057.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0057.jpg,0,3813,73
0428.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0428.jpg,0,35066,998
0495.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0495.JPEG,1,6160,105
0048.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0048.JPEG,1,3714,77
0252.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0252.JPEG,1,6530,130
0476.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0476.jpg,0,48026,1150
0456.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0456.JPEG,1,7921,233
0772.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0772.JPEG,1,5198,132
0389.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0389.jpg,0,31580,624
0013.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0013.JPEG,1,5392,111
0778.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0778.jpg,0,28189,618
0889.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0889.JPEG,0,5350,168
0694.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0694.jpg,0,50362,869
0562.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0562.jpg,0,14609,225
0042.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0042.JPEG,1,8872,261
0698.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0698.JPEG,1,8872,301
0382.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0382.JPEG,1,7150,288
0641.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0641.jpg,0,7625,328
0635.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0635.JPEG,1,11789,409
0222.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0222.JPEG,1,10960,323
0633.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0633.jpg,0,8888,152
0448.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0448.jpg,0,2767,52
